summarized_reviews,sentiments
 i am not a huge mcds lover but i have been to better ones this is by far the worst one i have ever been too it is filthy inside and if you get drive through they completely screw up your order every time the staff,"{'label': 'NEGATIVE', 'score': 0.999752938747406}"
 terrible customer service i came in at 930pm and stood in front of the register and no one bothered to say anything or help me for 5 minutes . There was no one else waiting for their food inside either just outside at the window,"{'label': 'NEGATIVE', 'score': 0.9983214735984802}"
 First they lost my order actually they gave it to someone one else than took 20 minutes to figure out why i was still waiting for my orderthey . After 22 minutes i finally had my breakfast biscuit platteras i left an,"{'label': 'NEGATIVE', 'score': 0.9996058344841003}"
i see i am not the only one giving 1 star only because there is not a 25 star that is all i need to say,"{'label': 'NEGATIVE', 'score': 0.9937289953231812}"
 This review reflects solely on the poor service . The order takers tend to be rude no smiles and a lot of sighs and lip smacking when you talk to them . The next stop is at least 12 minutes away .,"{'label': 'NEGATIVE', 'score': 0.9995823502540588}"
this has to be one of the worst and slowest mcdonalds franchises there is cannot figure out why my egg mcmuffin is always on a stale untoasted english muffin bought a chocolate shake today and threw it away,"{'label': 'NEGATIVE', 'score': 0.9997397065162659}"
 i am not crazy about this mcdonalds this is primarily because they are so slow my gosh what exactly is the hold up it is fast food people also this morning i guess the worker thought his mic was off but it was not,"{'label': 'NEGATIVE', 'score': 0.9952296018600464}"
 Last day of free coffee so we decide to stop and order breakfast and coffees thru drivethru she charged us for coffee . When asked why she said she needed to confirm there were two of us in the car now she has to,"{'label': 'NEGATIVE', 'score': 0.9986566305160522}"
 After a long trip from california my wife and i went to mcdonalds for a quick bite to eat before our drive back home . The worst fast food drive thru service is unfriendly and slow . By far the worst,"{'label': 'NEGATIVE', 'score': 0.9998106360435486}"
 The fries used to be cold and the cheese on the burger was never melted everything was just lukewarm . Now my order has been right a few times in a row and my food hot .,"{'label': 'POSITIVE', 'score': 0.9878050088882446}"
 Blackmac is blackmac not mcdonalds. let us start here only reason i came into mcdonald's waste time till girlfriend flight arrives and for my duaghters i do not eat fast food. ordered two happy meals ordered two,"{'label': 'NEGATIVE', 'score': 0.9982665181159973}"
 mcdonalds on camp creek parkway told a group of senior citizens who were on the way home from an outing that they had to leave their restaurant . other businesses throughout metro atlanta opened their doors to stranded motorists .,"{'label': 'NEGATIVE', 'score': 0.979015052318573}"
 the drive thru makes them lost a star since my last review . The drive thru staff has no smile in their voice when you are ordering food from the luxury of your vehicle .,"{'label': 'NEGATIVE', 'score': 0.9997233748435974}"
 The drive throuh is so slow it is frustrating but the service is always friendly . My niece likes the toys from mcdonalds. believe it or not this used to be q really good .,"{'label': 'POSITIVE', 'score': 0.9976981282234192}"
as the previous yelpers have already stated this place is pretty slow the food is usually cold and the serviceyeah you guessed it poor,"{'label': 'NEGATIVE', 'score': 0.9997509121894836}"
25 minutes in drive through line gunshots from the apartments behind worst mcdonalds ever,"{'label': 'NEGATIVE', 'score': 0.9993851184844971}"
super slow service foods terrible like its been sitting and then reheated everything is out napkins iced tea,"{'label': 'NEGATIVE', 'score': 0.9986674785614014}"
slowslowslow do not go here if you have a flight to catchor a life to live if youre hungry wait until you get to the airport this particular mcdonalds is just not worth your time,"{'label': 'NEGATIVE', 'score': 0.9998016953468323}"
 This is the slowest mcdonalds drive thru i have experienced in atlanta considering this location is close to the airport . As a lover of sweet tea i was completely turned off by this location .,"{'label': 'NEGATIVE', 'score': 0.9987118244171143}"
this is the worst mcdonalds i have ever seen the service was terrible and the employees were either lazy or incompetent i will never return to this establishment,"{'label': 'NEGATIVE', 'score': 0.9995400905609131}"
 i had the mccafe mocha and must say that it was better than drinking sand and salt water that is about ittoo sweet and i could not even taste the coffee over the other weird flavors going on in this drink .,"{'label': 'NEGATIVE', 'score': 0.5957382321357727}"
 ghetto went in yesterday just to get a soda and could not even park in handicap parking spot because their delivery truck was blocking all spaces . The cashier did not ring up the soda so therefore i did not get a receipt so therefore,"{'label': 'NEGATIVE', 'score': 0.9994232654571533}"
 i visited mcdonalds on dec 20 2011 at 1254 i bought 3 cheese burgers 2 large fries and 2 orders of pies . The only reason i gave 2 stars was because the fries were hot and the sweet potatoe fries were,"{'label': 'NEGATIVE', 'score': 0.9943759441375732}"
 i usually hit the drive thru once or twice a week for breakfast . A lot of times the forget to include the hash brown if i order a meal . If i order hot cakes they usually forget either butter or utinsils .,"{'label': 'NEGATIVE', 'score': 0.9988679885864258}"
 Woodstock macdonalds is not the place that ray crock invented save yourself the frustration and waste if money do not go there . Do not do take out as you will not get anything that you ordered .,"{'label': 'NEGATIVE', 'score': 0.9992801547050476}"
i wish i can give zero stars freezing cold reheated soggy fries and twice fried chewy nuggets  straight to my trash can,"{'label': 'NEGATIVE', 'score': 0.9996174573898315}"
i agree with most reviewers on this one staff is always rude and annoyed that youre there1 i travel weekly to atlanta hartsfield airport and this mcdonalds never has fresh hot coffee at 430500 am always have to wait while they brew coffee wth,"{'label': 'NEGATIVE', 'score': 0.998588502407074}"
 i do not think this location deserves even one star this is the filthiest mcdonalds i have ever visited i have been to hundreds of different locations .,"{'label': 'NEGATIVE', 'score': 0.9994528889656067}"
