Original Review,Summarized Review
i am not a huge mcds lover but i have been to better ones this is by far the worst one i have ever been too it is filthy inside and if you get drive through they completely screw up your order every time the staff is terribly unfriendly and nobody seems to care, i am not a huge mcds lover but i have been to better ones this is by far the worst one i have ever been too it is filthy inside and if you get drive through they completely screw up your order every time the staff
terrible customer service i came in at 930pm and stood in front of the register and no one bothered to say anything or help me for 5 minutes there was no one else waiting for their food inside either just outside at the window  i left and went to chickfila next door and was greeted before i was all the way inside this mcdonalds is also dirty the floor was covered with dropped food obviously filled with surly and unhappy workers, terrible customer service i came in at 930pm and stood in front of the register and no one bothered to say anything or help me for 5 minutes . There was no one else waiting for their food inside either just outside at the window
first they lost my order actually they gave it to someone one else than took 20 minutes to figure out why i was still waiting for my orderthey after i was asked what i needed i replied my orderthey asked for my ticket and the asst mgr looked at the ticket then incompletely filled iti had to ask her to check to see if she filled it correctlyshe acted as if she could not be bothered with that so i asked her againshe begrudgingly checked to she did in fact miss something on the ticketso after 22 minutes i finally had my breakfast biscuit platteras i left an woman approached and identified herself as the manager she was dressed as if she had just awoken in an old tshirt and sweat pantsshe said she had heard what happened and said she would take care of itwell why did not she intervene when she saw i was growing annoyed with the incompetence, First they lost my order actually they gave it to someone one else than took 20 minutes to figure out why i was still waiting for my orderthey . After 22 minutes i finally had my breakfast biscuit platteras i left an
i see i am not the only one giving 1 star only because there is not a 25 star that is all i need to say,i see i am not the only one giving 1 star only because there is not a 25 star that is all i need to say
well it is mcdonalds so you know what the food is this review reflects solely on the poor service i have been to this location countless times over the years they consistently fail on the service end of things the order takers tend to be rude no smiles and a lot of sighs and lip smacking when you talk to them so why go back you ask this store benefits from being the only place to eat in this area the next stop is at least 12 minutes away on the other side of town also i strongly believe in 2nd chances and know that not every business can satisfy everyone 100 of the time i have given them many chances at earning a positive review i could not recommend this location any less if you can wait take a pass there are better mcdonalds stores in griffin ga, This review reflects solely on the poor service . The order takers tend to be rude no smiles and a lot of sighs and lip smacking when you talk to them . The next stop is at least 12 minutes away .
this has to be one of the worst and slowest mcdonalds franchises there is cannot figure out why my egg mcmuffin is always on a stale untoasted english muffin bought a chocolate shake today and threw it away,this has to be one of the worst and slowest mcdonalds franchises there is cannot figure out why my egg mcmuffin is always on a stale untoasted english muffin bought a chocolate shake today and threw it away
i am not crazy about this mcdonalds this is primarily because they are so slow my gosh what exactly is the hold up it is fast food people also this morning i guess the worker thought his mic was off but it was not i now know that he is trying to get as many hours as possible because he needs money bad spread the word anyway this location is on a little access road and you have to go back the way you came because there is no exit from it at the other end it would have helped if there was one so in the end i think i will avoid this location and find another this should be easy as there is no shortage of mickey ds in this piece, i am not crazy about this mcdonalds this is primarily because they are so slow my gosh what exactly is the hold up it is fast food people also this morning i guess the worker thought his mic was off but it was not
one star and i am beng kind i blame management last day of free coffee so we decide to stop and order breakfast and coffees thru drivethru she charged us for coffee and when asked why she said she needed to confirm there were two of us in the car now she has to clear the order and that took retraining ask next time at tthe speakeroh it gets betterwe get to next window where einstein is waiting pours the coffees with different creamssugars added which one is which i asked and he smiled and said one has 2 cream 2 sugar and the other has 3 cream 1 sugar didnt maek the cups but at least he made sure we had straws for our coffees hello management where are you, Last day of free coffee so we decide to stop and order breakfast and coffees thru drivethru she charged us for coffee . When asked why she said she needed to confirm there were two of us in the car now she has to
never been upset about any fast food drive thru service till i came to this mcdonaldsafter a long trip from california my wife and i went to mcdonalds for a quick bite to eat before our drive back home we pull up to the drive thru but there are a lot of cars waiting to order we were guessing there must be a lot demand for mcdonalds at this late hour so we wait about 5  10 minutes for our turn to order we order the specials they were having at that time 20 pcs chicken nuggets for 5 and asked for a cup of water because we did not want to drink any sodas at that late hour they take our order but tells us they do not serve cups of water there so we are a little annoyed but ok we shrug it off and wait our turn to pay and receive our order however we wait for almost another 10 min to finally pay at the first window  then another 5 more min to finally receive our food by far the worst mcdonalds in the world unfriendly and slow, After a long trip from california my wife and i went to mcdonalds for a quick bite to eat before our drive back home . The worst fast food drive thru service is unfriendly and slow . By far the worst
this mcdonalds has gotten much better usually my order would be wrong every single time so i would not leave that window until i checked every single item i only hit up fast food once a month or so and it needs to be worth it also the fries used to be cold and the cheese on the burger was never melted everything was just lukewarm now my order has been right a few times in a row and my food hot also i love dining room usually you wouldnt find me actually inside a fast food joint but this place has nice flooring stacked stone lots of large windows and a flat screen tv usually on hln sometimes its nice to sneak away for a quick weekend breakfast you know a little budget and time friendly mommy and me date, The fries used to be cold and the cheese on the burger was never melted everything was just lukewarm . Now my order has been right a few times in a row and my food hot .
let us start here only reason i came into mcdonalds waste time till girlfriend flight arrives and for my duaghters i do not eat fast food ordered two happy meals slow service while ordering my food a guy ask the cashier two use his cell in the middle of my order that was strike one then give me little boy toys knowing i have twin girls stabding right in front of him im glad i will never have to return here i live way in sandy springs i can see the difference between service and the staff the building it self is brand new change your staff this is blackmac not mcdonalds im black myself but telling the truth, Blackmac is blackmac not mcdonalds. let us start here only reason i came into mcdonald's waste time till girlfriend flight arrives and for my duaghters i do not eat fast food. ordered two happy meals ordered two
other businesses throughout metro atlanta opened their doors to stranded motorists during the jan 2014 snow storm this mcdonalds on camp creek parkway told a group of senior citizens who were on the way home from an outing that they had to leave their restaurant all they cared about was the dollar after they got that they were done with them too bad they could not have made it down the street to wendys or chic fil a and other restaurants, mcdonalds on camp creek parkway told a group of senior citizens who were on the way home from an outing that they had to leave their restaurant . other businesses throughout metro atlanta opened their doors to stranded motorists .
